id,situation,question_1,min_1,tmp_1,max_1,question_2,min_2,tmp_2,max_2,question_3,tmp_3
1,"Egy barátod azzal hív fel, hogy lerobbant a kocsija az országúton, és megkér, hogy menj érte. Ehhez azonban a munkaidőd vége előtt két órával el kellene kéredzkedned a munkahelyedről.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
2,"Egy fényképész barátod benevez egy online fotópályázatra, ahol közönségszavazatok döntenek a győztesről. Bár még nem láttad a versenymunkáit, barátod megkér, hogy szólj az ismerőseidnek, szavazzanak rá.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem fogadnám el  O  O  O  O  O  O  O  O  O  O  O  Biztosan elfogadnám,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
3,"Az aznapi utolsó vonathoz igyekezve észreveszed, hogy egy kismama próbálja egyedül felcipelni babakocsiját a pályaudvar lépcsőjén.",Odamennél hozzá?,Biztosan nem mennék oda hozzá,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan odamennék hozzá,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd menne oda hozzá?,0 1 2 3 4 5 6 7 8 9 10
4,"Egy kollégád hazavisz kocsival a hosszúra nyúlt céges parti után. Útközben rendőrök állítanak meg. Kollégád megkér, hogy amíg az intézkedő rendőr a kocsihoz ér, gyorsan cseréljetek helyet a volán mögött, mert ő ivott egy pohár bort a partin, te pedig nem fogyasztottál alkoholt, és a jogosítványod is nálad van.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem mennék oda hozzá O O O O O O O O O O O Biztosan odamennék hozzá,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
5,"Egy volt osztálytársad, aki korábban a beosztottadként dolgozott, állásra jelentkezik valahová. Bár nem bizonyult különösebben jó munkaerőnek, megkér, hogy adj neki ajánlólevelet.","Adnál neki ajánlólevelet?",Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd adna neki ajánlólevelet?,0 1 2 3 4 5 6 7 8 9 10
6,"A lakásodtól tíz percre lévő téren ruhagyűjtést szerveznek rászorulók számára. A szekrényedben akadnak ruhák, amelyekre nincs szükséged.",Elvinnéd ezeket a ruhákat a térre?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd vinné el ruháit a térre?,0 1 2 3 4 5 6 7 8 9 10
7,"A tizenkét lakásos társasházban, amelyben laksz, közösképviselőre volna szükség a lakóközösség ügyeinek intézéséhez, és a többi lakó megkér, egy jelképes összegért cserébe vállald el te a feladatot.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
8,"A munkahelyed továbbképzést szervez, amelyen kötelező a részvétel. A munkatársad családi okokból nem tud részt venni, és megkér, írd alá helyette a jelenléti ívet.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
9,"Helyi önkéntesek szemétszedési akciót hirdetnek szombatra és vasárnapra a közeli elhanyagolt park megtisztítására, és minden helyi lakos segítségére számítanak. Neked nincs programod a hétvégére.",Részt vennél az akcióban?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd venne részt az akcióban?,0 1 2 3 4 5 6 7 8 9 10
10,"Egy fontos vizsga írása közben a melletted ülő barátod megkér, hogy mutasd meg neki a saját megoldásaidat.",Megtennéd?,Biztosan nem tenném meg,Biztosan nem tenném meg O O O O O O O O O O O Biztosan megtenném,Biztosan megtenném,Mennyire éreznéd magad kellemetlenül ebben a döntési helyzetben?,Egyáltalán nem érezném magam kellemetlenül,Egyáltalán nem érezném magam kellemetlenül O O O O O O O O O O O Nagyon kellemetlenül érezném magam,Nagyon kellemetlenül érezném magam,Szerinted tízből hány ismerősöd tenné meg?,0 1 2 3 4 5 6 7 8 9 10
